movie_title,views,item_id
Six Days Seven Nights ,3958,452
Yogi Bear ,1696,453
Spirit: Stallion of the Cimarron ,1094,454
Zookeeper ,261,455
Lost in Space ,2223,456
The Manchurian Candidate ,2903,457
Hotel Transylvania 2 ,1607,458
Fantasia 2000 ,2923,459
The Time Machine ,2437,460
Mighty Joe Young ,3676,461
Swordfish ,4300,462
The Legend of Zorro ,271,463
What Dreams May Come ,1077,464
Little Nicky ,4299,465
The Brothers Grimm ,3614,466
Mars Attacks! ,1538,467
Surrogates ,3852,468
Thirteen Days ,1775,469
Daylight ,1506,470
Walking with Dinosaurs 3D ,4891,471
Battlefield Earth ,1175,472
Looney Tunes: Back in Action ,1743,473
Nine ,3142,474
Timeline ,1774,475
The Postman ,1612,476
Babe: Pig in the City ,3387,477
The Last Witch Hunter ,2917,478
Red Planet ,3226,479
Arthur and the Invisibles ,1423,480
Oceans ,3846,481
A Sound of Thunder ,1280,482
Pompeii ,3178,483
A Beautiful Mind ,1819,484
The Lion King ,1588,485
Journey 2: The Mysterious Island ,4609,486
Cloudy with a Chance of Meatballs 2 ,2585,487
Red Dragon ,2015,488
Hidalgo ,1421,489
Jack and Jill ,1083,490
2 Fast 2 Furious ,4358,491
The Little Prince ,3166,492
The Invasion ,4427,493
The Adventures of Rocky & Bullwinkle ,3076,494
The Secret Life of Pets ,1862,495
The League of Extraordinary Gentlemen ,4158,496
Despicable Me 2 ,2137,497
Independence Day ,1313,498
The Lost World: Jurassic Park ,4203,499
Madagascar ,517,500
Children of Men ,1625,501
X-Men ,4109,502
Wanted ,3760,503
The Rock ,2372,504
Ice Age: The Meltdown ,2333,505
50 First Dates ,2308,506
Hairspray ,4019,507
Exorcist: The Beginning ,2718,508
Inspector Gadget ,1479,509
Now You See Me ,1630,510
Grown Ups ,3681,511
The Terminal ,529,512
Hotel for Dogs ,209,513
Vertical Limit ,4100,514
Charlie Wilson's War ,3496,515
Shark Tale ,3506,516
Dreamgirls ,3573,517
Be Cool ,1293,518
Munich ,2639,519
Tears of the Sun ,4195,520
Killers ,4455,521
The Man from U.N.C.L.E. ,139,522
Spanglish ,2784,523
Monster House ,3644,524
Bandits ,2351,525
First Knight ,1913,526
Anna and the King ,2399,527
Immortals ,3003,528
Hostage ,1058,529
Titan A.E. ,3706,530
Hollywood Homicide ,4918,531
Soldier ,1494,532
Monkeybone ,4128,533
Flight of the Phoenix ,1821,534
Unbreakable ,805,535
Minions ,498,536
Sucker Punch ,2497,537
Snake Eyes ,2520,538
Sphere ,1084,539
The Angry Birds Movie ,3275,540
Fool's Gold ,1111,541
Funny People ,1751,542
The Kingdom ,1393,543
Talladega Nights: The Ballad of Ricky Bobby ,2362,544
Dr. Dolittle 2 ,1724,545
Braveheart ,4297,546
Jarhead ,2853,547
The Simpsons Movie ,4639,548
The Majestic ,4683,549
Driven ,3307,550
Two Brothers ,1927,551
The Village ,1347,552
Doctor Dolittle ,4289,553
Signs ,4962,554
Shrek 2 ,3737,555
Cars ,3898,556
Runaway Bride ,2972,557
xXx ,666,558
The SpongeBob Movie: Sponge Out of Water ,3467,559
Ransom ,3398,560
Inglourious Basterds ,2771,561
Hook ,4110,562
Hercules ,3177,563
Die Hard 2 ,2235,564
S.W.A.T. ,2265,565
Vanilla Sky ,1525,566
Lady in the Water ,2398,567
AVP: Alien vs. Predator ,3559,568
Alvin and the Chipmunks: The Squeakquel ,4472,569
We Were Soldiers ,3835,570
Olympus Has Fallen ,1451,571
Star Trek: Insurrection ,902,572
Battle Los Angeles ,3833,573
Big Fish ,3766,574
Wolf ,3986,575
War Horse ,1045,576
The Monuments Men ,611,577
The Abyss ,2785,578
Wall Street: Money Never Sleeps ,4736,579
Dracula Untold ,4021,580
The Siege ,2944,581
Stardust ,3199,582
Seven Years in Tibet ,4942,583
The Dilemma ,132,584
Bad Company ,3458,585
Doom ,608,586
I Spy ,2740,587
Underworld: Awakening ,4286,588
Rock of Ages ,4935,589
Hart's War ,2554,590
Killer Elite ,206,591
Rollerball ,2624,592
Ballistic: Ecks vs. Sever ,659,593
Hard Rain ,1462,594
Osmosis Jones ,3842,595
Blackhat ,2402,596
Sky Captain and the World of Tomorrow ,4291,597
Basic Instinct 2 ,974,598
Escape Plan ,4273,599
The Legend of Hercules ,4262,600
The Sum of All Fears ,4769,601
The Twilight Saga: Eclipse ,4509,602
The Score ,1069,603
Despicable Me ,2626,604
Money Train ,3728,605
Ted 2 ,3053,606
Agora ,607,607
Mystery Men ,3342,608
Hall Pass ,4497,609
The Insider ,2630,610
Body of Lies ,942,611
Abraham Lincoln: Vampire Hunter ,556,612
Entrapment ,470,613
The X Files ,4300,614
The Last Legion ,798,615
Saving Private Ryan ,4716,616
Need for Speed ,521,617
What Women Want ,1770,618
Ice Age ,1692,619
Dreamcatcher ,1115,620
Lincoln ,2850,621
The Matrix ,2150,622
Apollo 13 ,3601,623
Total Recall ,2103,624
The Santa Clause 2 ,121,625
Les Misérables ,364,626
You've Got Mail ,538,627
Step Brothers ,4084,628
The Mask of Zorro ,3395,629
Due Date ,4881,630
Unbroken ,3575,631
Space Cowboys ,1361,632
Cliffhanger ,1199,633
Broken Arrow ,1207,634
The Kid ,519,635
World Trade Center ,917,636
Mona Lisa Smile ,684,637
The Dictator ,4438,638
Eyes Wide Shut ,293,639
Annie ,3944,640
Focus ,3822,641
This Means War ,2239,642
Blade: Trinity ,3520,643
Primary Colors ,2845,644
Resident Evil: Retribution ,4570,645
Death Race ,2177,646
The Long Kiss Goodnight ,1346,647
Proof of Life ,1589,648
Zathura: A Space Adventure ,594,649
Fight Club ,405,650
We Are Marshall ,2195,651
Hudson Hawk ,2892,652
Lucky Numbers ,2149,653
"I, Frankenstein ",4802,654
Oliver Twist ,180,655
Elektra ,3223,656
Sin City: A Dame to Kill For ,4268,657
Random Hearts ,1510,658
Everest ,3506,659
Perfume: The Story of a Murderer ,843,660
Austin Powers in Goldmember ,3103,661
Astro Boy ,4888,662
Jurassic Park ,1105,663
Wyatt Earp ,780,664
Clear and Present Danger ,3262,665
Dragon Blade ,2775,666
Littleman ,620,667
U-571 ,1059,668
The American President ,1072,669
The Love Guru ,4621,670
3000 Miles to Graceland ,146,671
The Hateful Eight ,3387,672
Blades of Glory ,4196,673
Hop ,839,674
300 ,3894,675
Meet the Fockers ,3490,676
Marley & Me ,4033,677
The Green Mile ,4117,678
Chicken Little ,3316,679
Gone Girl ,4113,680
The Bourne Identity ,1451,681
GoldenEye ,2761,682
The General's Daughter ,2904,683
The Truman Show ,4168,684
The Prince of Egypt ,3340,685
Daddy Day Care ,2514,686
2 Guns ,2156,687
Cats & Dogs ,579,688
The Italian Job ,1704,689
Two Weeks Notice ,2622,690
Antz ,572,691
Couples Retreat ,2231,692
Days of Thunder ,4549,693
Cheaper by the Dozen 2 ,1006,694
The Scorch Trials ,2560,695
Eat Pray Love ,996,696
The Family Man ,564,697
RED ,3515,698
Any Given Sunday ,3446,699
The Horse Whisperer ,2895,700
Collateral ,4609,701
The Scorpion King ,224,702
Ladder 49 ,2054,703
Jack Reacher ,1735,704
Deep Blue Sea ,2563,705
This Is It ,3250,706
Contagion ,3215,707
Kangaroo Jack ,380,708
Coraline ,1807,709
The Happening ,653,710
Man on Fire ,4396,711
The Shaggy Dog ,3333,712
Starsky & Hutch ,1266,713
Jingle All the Way ,2510,714
Hellboy ,2905,715
A Civil Action ,877,716
ParaNorman ,1863,717
The Jackal ,2946,718
Paycheck ,2697,719
Up Close & Personal ,2934,720
The Tale of Despereaux ,2038,721
The Tuxedo ,2727,722
Under Siege 2: Dark Territory ,240,723
Jack Ryan: Shadow Recruit ,2548,724
Joy ,523,725
London Has Fallen ,3317,726
Alien: Resurrection ,2594,727
Shooter ,445,728
The Boxtrolls ,374,729
Practical Magic ,800,730
The Lego Movie ,536,731
Miss Congeniality 2: Armed and Fabulous ,512,732
Reign of Fire ,1340,733
Gangster Squad ,4638,734
Year One ,143,735
Invictus ,1206,736
Duplicity ,1122,737
My Favorite Martian ,4608,738
The Sentinel ,1390,739
Planet 51 ,4450,740
Star Trek: Nemesis ,4052,741
Intolerable Cruelty ,990,742
Edge of Darkness ,2476,743
The Relic ,1151,744
Analyze That ,4003,745
Righteous Kill ,944,746
Mercury Rising ,4620,747
The Soloist ,2792,748
The Legend of Bagger Vance ,707,749
Almost Famous ,2469,750
xXx: State of the Union ,1243,751
Priest ,408,752
Sinbad: Legend of the Seven Seas ,1584,753
Event Horizon ,4375,754
The Avengers ,1229,755
Dragonfly ,2011,756
The Black Dahlia ,680,757
Flyboys ,1250,758
The Last Castle ,4701,759
Supernova ,4206,760
Winter's Tale ,1722,761
The Mortal Instruments: City of Bones ,3330,762
Meet Dave ,2255,763
Dark Water ,1622,764
Edtv ,4316,765
Inkheart ,2746,766
The Spirit ,1551,767
Mortdecai ,3516,768
In the Name of the King: A Dungeon Siege Tale ,912,769
Beyond Borders ,4376,770
The Great Raid ,257,771
Deadpool ,4019,772
Holy Man ,1998,773
American Sniper ,1275,774
Goosebumps ,1763,775
Just Like Heaven ,2843,776
The Flintstones in Viva Rock Vegas ,1471,777
Rambo III ,153,778
Leatherheads ,2793,779
Did You Hear About the Morgans? ,2524,780
The Internship ,2373,781
Resident Evil: Afterlife ,2624,782
Red Tails ,4763,783
The Devil's Advocate ,747,784
That's My Boy ,2673,785
DragonHeart ,3155,786
After the Sunset ,3252,787
Ghost Rider: Spirit of Vengeance ,406,788
Captain Corelli's Mandolin ,3806,789
The Pacifier ,2552,790
Walking Tall ,3487,791
Forrest Gump ,3730,792
Alvin and the Chipmunks ,266,793
Meet the Parents ,400,794
Pocahontas ,4967,795
Superman ,997,796
The Nutty Professor ,345,797
Hitch ,3008,798
George of the Jungle ,4720,799
American Wedding ,359,800
Captain Phillips ,3094,801
Date Night ,2905,802
Casper ,536,803
The Equalizer ,1681,804
Maid in Manhattan ,4049,805
Crimson Tide ,2764,806
The Pursuit of Happyness ,4545,807
Flightplan ,2751,808
Disclosure ,1087,809
City of Angels ,4991,810
Kill Bill: Vol. 1 ,2010,811
Bowfinger ,196,812
Kill Bill: Vol. 2 ,3692,813
Tango & Cash ,1019,814
Death Becomes Her ,1703,815
Shanghai Noon ,1724,816
Executive Decision ,2704,817
Mr. Popper's Penguins ,2685,818
The Forbidden Kingdom ,2513,819
Free Birds ,4117,820
Alien 3 ,1688,821
Evita ,3693,822
Ronin ,3084,823
The Ghost and the Darkness ,2251,824
Paddington ,2129,825
The Watch ,1188,826
The Hunted ,394,827
Instinct ,3595,828
Stuck on You ,253,829
Semi-Pro ,1783,830
The Pirates! Band of Misfits ,2447,831
Changeling ,4638,832
Chain Reaction ,2590,833
The Fan ,714,834
The Phantom of the Opera ,3849,835
Elizabeth: The Golden Age ,2491,836
Æon Flux ,1668,837
Gods and Generals ,4448,838
Turbulence ,1850,839
Imagine That ,1418,840
Muppets Most Wanted ,793,841
Thunderbirds ,680,842
Burlesque ,4003,843
A Very Long Engagement ,4753,844
Blade II ,987,845
Seven Pounds ,767,846
Bullet to the Head ,872,847
The Godfather: Part III ,186,848
Elizabethtown ,1438,849
"You, Me and Dupree ",2851,850
Superman II ,342,851
Gigli ,491,852
All the King's Men ,2586,853
Shaft ,277,854
Anastasia ,1853,855
Moulin Rouge! ,4067,856
Domestic Disturbance ,3495,857
Black Mass ,3813,858
Flags of Our Fathers ,4097,859
Law Abiding Citizen ,252,860
Grindhouse ,1901,861
Beloved ,1933,862
Lucky You ,2692,863
Catch Me If You Can ,2771,864
Zero Dark Thirty ,4492,865
The Break-Up ,2097,866
Mamma Mia! ,2043,867
Valentine's Day ,945,868
The Dukes of Hazzard ,4352,869
The Thin Red Line ,1963,870
The Change-Up ,870,871
Man on the Moon ,4362,872
Casino ,4903,873
From Paris with Love ,629,874
Bulletproof Monk ,4613,875
"Me, Myself & Irene ",400,876
Barnyard ,679,877
The Twilight Saga: New Moon ,289,878
Shrek ,2264,879
The Adjustment Bureau ,1696,880
Robin Hood: Prince of Thieves ,776,881
Jerry Maguire ,2478,882
Ted ,3063,883
As Good as It Gets ,4307,884
Patch Adams ,1370,885
Anchorman 2: The Legend Continues ,2574,886
Mr. Deeds ,1714,887
Super 8 ,2406,888
Erin Brockovich ,2457,889
How to Lose a Guy in 10 Days ,4157,890
22 Jump Street ,243,891
Interview with the Vampire: The Vampire Chronicles ,2177,892
Yes Man ,3189,893
Central Intelligence ,2921,894
Stepmom ,4362,895
Daddy's Home ,909,896
Into the Woods ,972,897
Inside Man ,4597,898
Payback ,667,899
Congo ,3443,900
Knowing ,2077,901
Failure to Launch ,3996,902
"Crazy, Stupid, Love. ",2259,903
Garfield ,4810,904
Christmas with the Kranks ,4363,905
Moneyball ,107,906
Outbreak ,1794,907
Non-Stop ,266,908
Race to Witch Mountain ,3549,909
V for Vendetta ,2796,910
Shanghai Knights ,2824,911
Curious George ,475,912
Herbie Fully Loaded ,473,913
Don't Say a Word ,3425,914
Hansel & Gretel: Witch Hunters ,2132,915
Unfaithful ,1608,916
I Am Number Four ,1583,917
Syriana ,1813,918
13 Hours ,3207,919
The Book of Life ,516,920
Firewall ,4821,921
Absolute Power ,3804,922
G.I. Jane ,4086,923
The Game ,4231,924
Silent Hill ,2104,925
The Replacements ,4084,926
American Reunion ,4636,927
The Negotiator ,2558,928
Into the Storm ,3683,929
Beverly Hills Cop III ,4611,930
Gremlins 2: The New Batch ,700,931
The Judge ,471,932
The Peacemaker ,2476,933
Resident Evil: Apocalypse ,4682,934
Bridget Jones: The Edge of Reason ,1804,935
Out of Time ,871,936
On Deadly Ground ,3296,937
The Adventures of Sharkboy and Lavagirl 3-D ,290,938
The Beach ,3278,939
Raising Helen ,4148,940
Ninja Assassin ,1213,941
For Love of the Game ,2704,942
Striptease ,1257,943
